text,label
Aliens invade Earth secretly,Fake
Government launches new healthcare program,Real
Ghost seen in shopping mall,Fake
New technology improves battery life,Real
Magic potion cures all diseases,Fake
Scientists discover water on Mars,Real
Time machine discovered in garage,Fake
Scientists discover water on Mars,Real
Magic potion cures all diseases,Fake
Scientists discover water on Mars,Real
Ghost seen in shopping mall,Fake
Economic growth increases this year,Real
Man flies using homemade wings,Fake
Scientists discover water on Mars,Real
Ghost seen in shopping mall,Fake
Education reforms approved by parliament,Real
Time machine discovered in garage,Fake
Scientists discover water on Mars,Real
Magic potion cures all diseases,Fake
Economic growth increases this year,Real
Aliens invade Earth secretly,Fake
Economic growth increases this year,Real
Time machine discovered in garage,Fake
Economic growth increases this year,Real
Man flies using homemade wings,Fake
New technology improves battery life,Real
Ghost seen in shopping mall,Fake
Government launches new healthcare program,Real
Man flies using homemade wings,Fake
Scientists discover water on Mars,Real
Man flies using homemade wings,Fake
Scientists discover water on Mars,Real
Magic potion cures all diseases,Fake
Economic growth increases this year,Real
Man flies using homemade wings,Fake
Scientists discover water on Mars,Real
Aliens invade Earth secretly,Fake
Government launches new healthcare program,Real
Ghost seen in shopping mall,Fake
New technology improves battery life,Real
Time machine discovered in garage,Fake
Education reforms approved by parliament,Real
Time machine discovered in garage,Fake
New technology improves battery life,Real
Ghost seen in shopping mall,Fake
New technology improves battery life,Real
Ghost seen in shopping mall,Fake
Education reforms approved by parliament,Real
Time machine discovered in garage,Fake
Scientists discover water on Mars,Real
Time machine discovered in garage,Fake
Government launches new healthcare program,Real
Magic potion cures all diseases,Fake
Government launches new healthcare program,Real
Magic potion cures all diseases,Fake
Economic growth increases this year,Real
Time machine discovered in garage,Fake
Education reforms approved by parliament,Real
Aliens invade Earth secretly,Fake
Economic growth increases this year,Real
Ghost seen in shopping mall,Fake
Scientists discover water on Mars,Real
Ghost seen in shopping mall,Fake
Economic growth increases this year,Real
Time machine discovered in garage,Fake
Economic growth increases this year,Real
Magic potion cures all diseases,Fake
Education reforms approved by parliament,Real
Man flies using homemade wings,Fake
Economic growth increases this year,Real
Man flies using homemade wings,Fake
Education reforms approved by parliament,Real
Man flies using homemade wings,Fake
Education reforms approved by parliament,Real
Ghost seen in shopping mall,Fake
Education reforms approved by parliament,Real
Man flies using homemade wings,Fake
Economic growth increases this year,Real
Ghost seen in shopping mall,Fake
New technology improves battery life,Real
Aliens invade Earth secretly,Fake
Education reforms approved by parliament,Real
Man flies using homemade wings,Fake
New technology improves battery life,Real
Magic potion cures all diseases,Fake
Education reforms approved by parliament,Real
Time machine discovered in garage,Fake
Scientists discover water on Mars,Real
Man flies using homemade wings,Fake
Economic growth increases this year,Real
Man flies using homemade wings,Fake
Scientists discover water on Mars,Real
Time machine discovered in garage,Fake
New technology improves battery life,Real
Magic potion cures all diseases,Fake
Education reforms approved by parliament,Real
Ghost seen in shopping mall,Fake
Education reforms approved by parliament,Real
Man flies using homemade wings,Fake
Government launches new healthcare program,Real
Man flies using homemade wings,Fake
Government launches new healthcare program,Real
Magic potion cures all diseases,Fake
Economic growth increases this year,Real
Magic potion cures all diseases,Fake
Education reforms approved by parliament,Real
Magic potion cures all diseases,Fake
New technology improves battery life,Real
Man flies using homemade wings,Fake
New technology improves battery life,Real
Aliens invade Earth secretly,Fake
Education reforms approved by parliament,Real
Man flies using homemade wings,Fake
New technology improves battery life,Real
Aliens invade Earth secretly,Fake
New technology improves battery life,Real
Ghost seen in shopping mall,Fake
New technology improves battery life,Real
Aliens invade Earth secretly,Fake
Economic growth increases this year,Real
Man flies using homemade wings,Fake
Government launches new healthcare program,Real
Aliens invade Earth secretly,Fake
